name,Full_Name,Latitude,Longitude,Region,Description,Icon
DREW,Dream Island West (Casey Islands),-64.729528,-64.253955,Central-west Antarctic Peninsula,Had previously been called Nameless W-1,166
DUFF,Duff Point (Greenwich Island),-62.449371,-60.029899,,,166
DUKE,Duke of York Island,-71.623500,170.063500,Victoria Land,,166
DUND,Dundee Island,-63.483000,-55.966000,Northwest Antarctic Peninsula,,166
DUPT,Duthiers Point,-64.804900,-62.817900,Central-west Antarctic Peninsula,,166
DURI,d'Urville I,-63.066000,-56.316000,,,166
DURO,Duroch Islands,-63.303300,-57.890300,Northwest Antarctic Peninsula,,166
DURV,d'Urville Monument,-63.426700,-56.294400,Northeast Antarctic Peninsula,,166
DUTH,Duthoit Point,-62.307000,-58.835000,South Shetland Islands,,166
EADI,Eadie Island,-61.479200,-55.942000,Elephant Island,,166
EAGL,Eagle Island,-63.659936,-57.489457,,,166
EARL,Earle Island,-63.483300,-54.783300,Northeast Antarctic Peninsula,,166
ECAP,East Cape,-60.633300,-45.183300,South Orkney Islands,,166
ECKE,Eckener Point,-64.430900,-61.604200,Central-west Antarctic Peninsula,,166
EDEN,Eden Rocks,-63.494600,-55.701800,Northeast Antarctic Peninsula,,166
EDMO,Edmonson Point,-74.316700,165.066600,Victoria Land,,166
EDWA,Edwards Point,-62.462900,-59.498400,South Shetland Islands,,166
EDWI,Edwards Islands,-73.870100,-103.005700,Marie Byrd Land,,166
EGAR,East (2-3 km) of Cape Garry,-63.355500,-62.213100,South Shetland Islands,,166
EIP0,Elephant Island (north coast point 0),-61.077000,-55.145000,Elephant Island,,166
EIP1,Elephant Island (north coast point 1),-61.091000,-55.113000,Elephant Island,,166
EIP2,Elephant Island (north coast point 2),-61.093000,-55.087000,Elephant Island,,166
EIP3,Elephant Island (north coast point 3),-61.092000,-55.074000,Elephant Island,,166
EIP4,Elephant Island (north coast point 4),-61.094000,-55.067000,Elephant Island,,166
EIP5,Elephant Island (north coast point 5),-61.094000,-55.057000,Elephant Island,,166
ELDE,Mount Elder,-61.223282,-55.191536,,,166
ELLI,Ellium Island,-60.694000,-44.871000,South Orkney Islands,,166
ELPT,Elephant Point,-62.692400,-60.857300,South Shetland Islands,,166
EMEI,East of Meier Point,-60.620000,-45.870000,South Orkney Islands,,166
EMER,Emerald Cove,-61.906208,-57.682158,South Shetland Islands,,166
EMMA,Emma Cove,-61.116000,-55.445000,,,166
EMPE,Emperor Island,-67.864700,-68.710000,Southwest Antarctic Peninsula,,166
ENTE,Enterprise Island,-64.538484,-61.999660,,WAM says: east coast (and pictures them on the NE coast),166
ENTR,Entrance Point,-62.998100,-60.553300,South Shetland Islands,,166
ENTW,Entrance Point West,-63.008000,-60.562000,South Shetland Islands,,166
ETNA,Etna Island,-63.094800,-55.179000,Northeast Antarctic Peninsula,,166
EVEN,Cape Evensen (mainland),-66.148300,-65.706700,Southwest Antarctic Peninsula,,166
EVER,Cape Evensen (offshore rocks),-66.157904,-65.720454,Southwest Antarctic Peninsula,,166
EXTE,Extension Reef,-65.967500,-66.121944,,,166
EYRI,Eyrie Bay,-63.579128,-57.689288,,,166
FALS,False Island Point (Vega Island),-63.932924,-57.341579,,,166
FARE,Farewell Rock,-63.867800,-61.018300,Central-west Antarctic Peninsula,"Main group on the east end, but a few others scattered across the rest of the island.",166
FARI,False Ridge,-61.283000,-54.052000,Elephant Island,,166
FBER,Fortenberry,-70.766200,167.078900,Victoria Land,,166
FERG,Ferguslie Peninsula,-60.696900,-44.568600,South Orkney Islands,,166
FERR,Ferrier Peninsula,-60.712000,-44.431800,South Orkney Islands,,166
FEST,Ferraz Station Vicinity,-62.133333,-58.666667,,,166
FILD,Fildes Peninsula (northwest side),-62.173000,-58.970000,South Shetland Islands,,166
FISH,Fish Islands,-66.027500,-65.361111,Southwest Antarctic Peninsula,,166
FISH_LIFL,FISH_little_flounder,-66.029722,-65.381389,Southwest Antarctic Peninsula,,166
FISH_MN01,FISH_minnow1,-66.024167,-65.371111,Southwest Antarctic Peninsula,,166
FISH_MN10,FISH_minnow10-point,-66.028056,-65.343056,Southwest Antarctic Peninsula,,166
FISH_MN02,FISH_minnow2,-66.023611,-65.368333,Southwest Antarctic Peninsula,,166
FISH_MN03,FISH_minnow3,-66.025556,-65.362222,Southwest Antarctic Peninsula,,166
FISH_MN04,FISH_minnow4,-66.026111,-65.361667,Southwest Antarctic Peninsula,,166
FISH_MN05,FISH_minnow5,-66.025278,-65.357500,Southwest Antarctic Peninsula,,166
FISH_MN06,FISH_minnow6,-66.025556,-65.354444,Southwest Antarctic Peninsula,,166
FISH_MN07,FISH_minnow7,-66.031111,-65.352500,Southwest Antarctic Peninsula,,166
FISH_MN08,FISH_minnow8,-66.027500,-65.355278,Southwest Antarctic Peninsula,,166
FISH_MN09,FISH_minnow9,-66.028889,-65.349722,Southwest Antarctic Peninsula,,166
FITC,Fitchie Bay,-60.724000,-44.522000,South Orkney Islands,,166
FIZK,Fizkin Island (islet northeast of Fizkin Island),-65.514000,-65.480000,Southwest Antarctic Peninsula,,166
FLIE,Fliess Bay,-63.204500,-55.241200,Northeast Antarctic Peninsula,,166
FLOR,Florence Rock,-60.769000,-44.622000,South Orkney Islands,,166
FOGE,Fortuna Glacier East,-54.095034,-36.819704,,,166
FOGW,Fortuna Glacier West,-54.090759,-36.846773,,,166
FOLD,Fold Island,-67.320000,59.320000,Kemp Land,,166
FORB,Forbes Glacier,-67.596400,62.285800,Mac. Robertson Land,,166
FORT,Fort Point (Greenwich Island),-62.543100,-59.575200,South Shetland Islands,,166
FOUL,Foul Point,-60.533333,-45.483333,,,166
FOYN,Foyn Harbor (Enterprise Island),-64.553883,-62.004729,,,166
FRAE,Franklin Island East,-76.158100,168.410100,Victoria Land,,166
FRAM,Fram Islands,-66.627400,139.727900,Wilkes Land,,166
FRAN,Franklin Island,-76.180000,168.430000,Victoria Land,,166
FRAS,Fraser Point,-60.671697,-44.519977,,,166
FRAW,Franklin Island West,-76.161800,168.338300,Victoria Land,,166
FRED,Fredriksen Island,-60.732600,-44.990100,South Orkney Islands,,166
FRNC,Francais Rocks,-63.027691,-56.008571,Northeast Antarctic Peninsula,,166
FRPT,False Round Point,-61.898300,-57.989300,South Shetland Islands,,166
FRTN,Fortuna Bay,-54.150000,-36.800000,,,166
FURS,Fur Seal Point,-61.218000,-54.043000,Elephant Island,,166
FYRC,Fyr Channel,-60.729000,-45.673000,South Orkney Islands,,166
GALE,Galindez Island East,-65.247600,-64.239900,Central-west Antarctic Peninsula,,166
GALS,Galindez Island South,-65.252000,-64.246000,Central-west Antarctic Peninsula,,166
GAMM,Gamma Island,-64.330110,-62.993323,,,166
GAMP,Gam Point Area,-61.922700,-57.954600,South Shetland Islands,,166
GARY,Cape Garry,-63.363300,-62.256600,South Shetland Islands,,166
GAST,Gaston Islands,-64.484800,-61.827000,Central-west Antarctic Peninsula,,166
GEDD,Cape Geddes,-60.691200,-44.596400,South Orkney Islands,,166
GEOR,Georges Point (Ronge Island),-64.669400,-62.669600,Central-west Antarctic Peninsula,,166
GEPT,Gerlache Point,-64.601000,-64.214000,Central-west Antarctic Peninsula,,166
GERD,Gerd Island,-60.657400,-45.743700,South Orkney Islands,,166
GERL,Gerlache Island,-64.601000,-64.214000,Central-west Antarctic Peninsula,,166
GIBA,Gibbon Bay,-60.650000,-45.183300,South Orkney Islands,,166
GIBB,Gibbs Island,-61.471000,-55.638500,Elephant Island,,166
GIBS,Gibson Bay,-63.305700,-55.881500,Northeast Antarctic Peninsula,,166
GING,Ginger Island,-67.749400,-68.685800,Southwest Antarctic Peninsula,,166
GINL,Greene Inlet,-54.050000,-38.016667,,,166
GLAN,Glandaz Point,-65.091100,-63.959100,Central-west Antarctic Peninsula,,166
GNEY,Gibbney Island,-67.554300,62.320500,Mac. Robertson Land,,166
GODT,Godthul Harbor,-54.299784,-36.287152,,,166
GOLD,Gold Harbor,-54.620854,-35.949675,,,166
GOLF,Golfcourse Point,-61.128000,-55.473000,Elephant Island,,166
GOPT,Gourlay Point,-60.730900,-45.586300,South Orkney Islands,,166
GOSL,Gosling Island,-60.640600,-45.917800,South Orkney Islands,,166
GOUL,Gould,-77.710000,-47.680000,NA,,166
GOUR,Gourdin Island,-63.196900,-57.307400,Northwest Antarctic Peninsula,,166
GOUV,Gouvernoren Harbor,-64.541348,-61.992222,,,166
GOWC,Gosling Island (west coast),-60.640000,-45.908000,South Orkney Islands,,166
GRAP,Graptolite Island,-60.715900,-44.462100,South Orkney Islands,,166
GREE,The Green Glen,-61.271000,-55.266000,Elephant Island,,166
GREI,Green Island,-65.323600,-64.148700,Central-west Antarctic Peninsula,,166
GREY,Grey Island,-60.748700,-45.014900,South Orkney Islands,,166
GRIB,Georges Rib,-61.157000,-54.973000,Elephant Island,,166
GRIN,Grinder Rock,-63.966000,-61.425600,Central-west Antarctic Peninsula,,166
GRYT,Grytviken,-54.281500,-36.508000,,,166
GUID,The guides mainland,-54.085995,-36.851193,,,166
GUNN,Gunnerus,-68.750000,34.380000,Queen Maud Land,,166
HAAK,King Haakon Bay,-54.174320,-37.324000,,,166
HALF,Half Moon Island,-62.590100,-59.920300,South Shetland Islands,,166
HALL,Halley Bay,-67.487000,-68.392000,,,166
HALY,Halley,-75.540000,-27.430000,Coats Land,,166
HANN,Hannah Point,-62.654500,-60.613400,South Shetland Islands,,166
HANS,Cape Hansen- Coronation Island,-60.659000,-45.584000,South Orkney Islands,,166
HARE,Harmony Point (east),-62.304000,-59.229000,South Shetland Islands,,166
HARM,Harmony Point,-62.306400,-59.242500,South Shetland Islands,,166
HASW,Haswell Island,-66.520000,93.010000,Queen Mary Land,,166
HBAY,Harald Bay,-69.197700,157.689400,Victoria Land,,166
HENN,Hennequin Point,-62.124000,-58.396000,South Shetland Islands,,166
HENR,Henry Islands,-66.878100,120.620600,Wilkes Land,,166
HERC,Hercules Bay,-54.116667,-36.666667,,,166
HERM,Hermit Island,-64.800502,-64.022500,,,166
HERO,Heroina Island,-63.394400,-54.608300,Northeast Antarctic Peninsula,,166
HEYN,North of Heywood Island,-62.312,-59.66,South Shetland Islands,,166
HEYW,Heywood Island,-62.317400,-59.685400,South Shetland Islands,,166
HIDD,Hidden Bay,-65.050000,-63.783000,,,166
HILL,Camp Hill,-63.675889,-57.847732,,,166
HINO,Cape Hinode,-68.145300,42.661200,Queen Maud Land,,166
HOKU,Hokuro Cove,-69.197300,39.614400,Queen Maud Land,,166
HOLB,Holluschickie Bay,-63.983000,-58.250000,,,166
HOLD,Holdfast Point (mainland and offshore rocks),-66.791700,-66.586700,Southwest Antarctic Peninsula,"According to FMP now combined HOL1 and HOL2, which are actually 2.3 km away from each other (HOL2 is on the N side of Holdfast Point, while HOL1 is a small rock just off the point to the south of Holdfast Point).  The location for HOL1 from the Casanovas shapefile is: -66.809768, -66.563183. Mist Rocks (also supposedly included here on MAPPPD?) are 1.5 km W of Holdfast Point.",166
HOLD_MIST,Mist Rocks,-66.800000,-66.616667,,,166
HOLD_NRTH,Holdfast Point_North,-66.791700,-66.586700,,Used to be HOL2,166
