"","FileName","SourceFile","ExifToolVersion","Directory","FileSize","FileModifyDate","FileAccessDate","FileCreateDate","FilePermissions","FileType","FileTypeExtension","MIMEType","JFIFVersion","ResolutionUnit","XResolution","YResolution","ImageWidth","ImageHeight","EncodingProcess","BitsPerSample","ColorComponents","YCbCrSubSampling","ImageSize","Megapixels","image_class","latitude","longitude","datetime"
"928","8723254142_8479d7cb2c_k.jpg","8723254142_8479d7cb2c_k.jpg",11.4,".",562666,"2020:08:28 17:20:48-04:00","2020:08:30 11:53:10-04:00","2020:08:30 11:53:10-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"929","8723255680_5fa5e3558e_k.jpg","8723255680_5fa5e3558e_k.jpg",11.4,".",573650,"2020:08:28 17:31:22-04:00","2020:08:30 11:53:20-04:00","2020:08:30 11:53:20-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"930","8723256416_cb3d2aa378_k.jpg","8723256416_cb3d2aa378_k.jpg",11.4,".",497057,"2020:08:28 17:29:11-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"931","8723257182_6b0a5ab8f6_k.jpg","8723257182_6b0a5ab8f6_k.jpg",11.4,".",537789,"2020:08:28 17:28:46-04:00","2020:08:30 11:53:15-04:00","2020:08:30 11:53:15-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"932","8723258312_008652f778_k.jpg","8723258312_008652f778_k.jpg",11.4,".",362041,"2020:08:28 17:23:10-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"933","8723260468_057b297e9a_k.jpg","8723260468_057b297e9a_k.jpg",11.4,".",490148,"2020:08:28 17:23:42-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"934","8723262308_ab84de6c57_k.jpg","8723262308_ab84de6c57_k.jpg",11.4,".",455347,"2020:08:28 17:27:30-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"935","8723262876_f27aefc12b_k.jpg","8723262876_f27aefc12b_k.jpg",11.4,".",314754,"2020:08:28 17:31:08-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
"936","8723264288_ae53b15133_k.jpg","8723264288_ae53b15133_k.jpg",11.4,".",251565,"2020:08:28 17:23:39-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2048,1145,0,8,3,"2 2","2048 1145",2.34496,"NonSeal",NA,NA,NA
"937","8723264604_69ccbfcdab_k.jpg","8723264604_69ccbfcdab_k.jpg",11.4,".",223816,"2020:08:28 17:30:10-04:00","2020:08:30 11:53:25-04:00","2020:08:30 11:53:25-04:00",666,"JPEG","JPG","image/jpeg","1 1",0,1,1,2047,1356,0,8,3,"2 2","2047 1356",2.775732,"NonSeal",NA,NA,NA
